Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Ai là người đầu tiên đặt chân lên Mặt trăng?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,Answer 1
Ai là tác giả của cuốn tiểu thuyết "Chiếc nón kỳ diệu"?,J.K. Rowling,Roald Dahl,Lewis Carroll,Mark Twain,Answer 2
Quốc gia nào được biết đến với biệt danh "Đất nước của những nụ cười"?,Nhật Bản,Brazil,Thái Lan,Hàn Quốc,Answer 4
Câu chuyện "Người đẹp và quái vật" được lấy cảm hứng từ câu chuyện dân gian nào?,Cinderella,Rapunzel,Beauty and the Beast,The Little Mermaid,Answer 3
Đâu là thành phố lớn nhất thế giới về dân số?,Tokyo,Shanghai,Delhi,Mumbai,Answer 1
Ai là nhà khoa học nổi tiếng với công trình "Thuyết tương đối chặt chẽ"?,Isaac Newton,Albert Einstein,Nikola Tesla,Stephen Hawking,Answer 2
Quốc gia nào là quê hương của nhà văn Miguel de Cervantes?,Pháp,Tây Ban Nha,Ý,Anh,Answer 2
Ai là người sáng lập công ty Apple?,Bill Gates,Steve Jobs,Mark Zuckerberg,Elon Musk,Answer 2
Quốc gia nào nằm ở châu Phi?,Thái Lan,Malaysia,Egypt,Mexico,Answer 3
Ai là người đạt giải Nobel Hóa học năm 2020?,Marie Curie,Albert Einstein,Emmanuelle Charpentier,Jennifer Doudna,Answer 4
Quốc gia nào là nơi diễn ra Lễ hội Carnival nổi tiếng?,Brazil,Trung Quốc,Hàn Quốc,Anh,Answer 1
Câu chuyện "Romeo và Juliet" được viết bởi tác giả nào?,William Shakespeare,Emily Brontë,Leo Tolstoy,F. Scott Fitzgerald,Answer 1
Ngôn ngữ chính thức của Brazil là gì?,Tiếng Anh,Tiếng Tây Ban Nha,Tiếng Pháp,Tiếng Bồ Đào Nha,Answer 4
Ai là người đầu tiên đạt đỉnh núi Everest?,Edmund Hillary,Tenzing Norgay,Reinhold Messner,Junko Tabei,Answer 1
Quốc gia nào nằm ở châu Á?,Úc,Hoa Kỳ,Hà Lan,Trung Quốc,Answer 4
Ngọn núi Kilimanjaro nằm ở quốc gia nào?,Kenya,Tanzania,Uganda,Ethiopia,Answer 2
Ai là người đạt giải Nobel Hóa học năm 2021?,Marie Curie,Albert Einstein,Benjamin List,Katalin Karikó,Answer 4
Quốc gia nào nằm ở châu Âu?,Brasil,Argentina,Turkey,Pháp,Answer 4
Bộ môn nào không thuộc trong ba môn phái Đạo giáo, Phật giáo và Hồi giáo?,Đạo Công giáo,Đạo Tin Lành,Đạo Hindu,Đạo Sơn,Answer 4
Quốc gia nào nằm ở châu Mỹ?,Nam Phi,Trung Quốc,Hàn Quốc,Hoa Kỳ,Answer 4